Model,WE7562
BlockNumber,1
BlockSize,15262              
70,30622613,2415
71,31225449,2423
72,31376907,2475
73,31426879,2482
74,31699433,2512
75,32949100,2882
76,33073491,2619
77,33620646,2485
78,34262899,2399
79,35593280,2482
80,36483373,2319
81,36593521,2465
82,38546797,2324
83,39931599,2866
84,40171402,2430
85,40750255,2384
86,41441058,2461
87,41994991,2700
88,42208444,2449
89,42477761,2483
90,42504753,2504
91,43468437,2498
92,43512722,2505
93,43556197,2898
94,43812460,3049
95,43822548,2869
96,44016097,2849
97,44171130,2464
98,44636977,2447
99,45490666,2399
100,45773541,2666
101,46378776,2438
102,46514437,2440
103,46848694,2494
104,47183119,2847
105,47450538,2493
106,47852520,2325
107,48029464,3051
108,48135671,2860
109,49093661,2456
110,49189573,3053
111,49866659,2492
112,50038285,2459
113,50352860,2838
114,50534778,2397
115,50670131,2440
116,50844325,2794
117,50983309,2419
118,51427397,2539
119,51574443,2404
120,51844557,2862
121,52117002,2509
122,52378872,2878
123,52642202,2828
124,53073160,2820
125,53239785,2424
126,53450820,2876
127,54350911,2482
128,54663407,2361
129,55307339,2485
130,55847806,2714
131,56000562,3091
132,56060149,2892
133,56262738,2513
134,56415268,3006
135,57356071,2799
136,57637321,2877
137,58497031,2470
138,58960601,3061
139,59705813,2931
140,61354890,2415
141,61921203,2462
142,62117149,2838
143,62694257,2817
144,63000529,2438
145,63195862,2479
146,63372481,3118
147,64526497,2819
148,64845105,2851
149,64957422,2435
150,66135532,2541
151,67199525,2478
152,67569871,2395
153,68400456,3062
154,70176232,2533
155,70592757,3016
156,70865666,2435
157,71020400,2473
158,71083823,2447
159,71166757,2456
160,71607505,2842
161,71784809,2389
162,72839588,2492
163,73523708,2451
164,73599922,2423
165,74303695,2856
166,74733003,2458
167,74876607,2518
168,76095483,2863
169,76274701,2479
170,76672525,2463
171,77430641,2720
172,78962141,3031
173,79444006,2466
174,79781233,2512
175,80884744,2548
176,80964810,2420
177,81099552,2443
178,81401744,2406
179,81890741,2434
180,81965016,2361
181,82734937,2480
182,83657547,2827
183,84621014,2927
184,85655140,2315
185,87267587,2436
186,87325816,2480
187,88198472,2659
188,88813124,2484
189,88968952,2864
190,89011387,2470
191,89304577,2573
192,89369754,2811
193,89863823,2481
194,90725252,3019
195,91478338,2793
196,92261696,2455
197,93438634,2858
198,93819618,2430
199,93956443,2842
200,94494057,2989
201,95325685,2506
202,95332513,2877
203,95543616,3042
204,95735825,2400
205,96227024,2956
206,96229717,2482
207,96243965,2505
208,96601219,2506
209,97118844,2436
210,97918634,2422
211,98126584,2413
212,99070012,2828
213,99565956,2847
214,101728619,2877
215,101766221,3053
216,101941171,2806
217,102092337,2481
218,102400349,2390
219,102472960,2506
220,102556177,2342
221,103608450,2971
222,103754139,2788
223,107213209,2440
224,107264614,2432
225,107481006,2864
226,109099370,2752
227,109721190,2478
228,109779266,2468
229,110234293,2326
230,110326363,2841
231,110663490,2562
232,111069070,2426
233,111084291,2438
234,111207253,2455
235,111431135,2863
236,111509742,2465
237,111782414,2873
238,112135685,2479
239,112436809,2465
240,112651651,2324
241,112707985,2457
242,113306375,2991
243,113340667,2418
244,113744192,2450
245,114770465,2940
246,114800050,2806
247,114884845,2491
248,115789168,2431
249,116761064,3048
250,116811667,2877
251,117496025,3070
252,119402574,2829
253,120326417,2721
254,121615596,2476
255,121817801,2538
256,122134508,2926
257,122356539,2450
258,122514639,2807
259,122533661,2714
260,122577535,2882
261,122900386,2776
262,123409482,2405
263,125574175,2885
264,125699044,2433
265,126619001,2484
266,127161936,2610
267,127379889,2596
268,127484545,2398
269,127974380,2415
270,128811292,2406
271,129137148,2437
272,129543092,2837
273,129721088,2390
274,130051815,2503
275,131234876,3042
276,131280984,2851
277,131281932,2439
278,131922611,2888
279,132424374,2836
280,135326452,2475
281,135346957,2453
282,135431893,2478
283,135952878,2592
284,135967696,2895
285,137183009,2399
286,138608291,2494
287,141214162,2529
288,142512333,2886
289,142985306,2477
290,143829188,2570
291,144731591,2875
292,145135598,2894
293,145772140,2463
294,146189203,2811
295,146207126,2853
296,146260813,2497
297,146834550,2461
298,147197035,2994
299,147528077,2872
300,147584082,3030
301,147833885,2914
302,148365830,2401
303,148724979,2813
304,150033257,2829
305,150697450,2503
306,150951368,2906
307,151035158,2496
308,151359749,2850
309,151387464,2885
310,153410110,2879
311,153621316,2488
312,153946158,2888
313,155161276,2384
314,155440311,2361
315,155642410,2910
316,155772736,2464
317,156151640,2855
318,156501620,3027
319,156592337,2462
320,157334983,3010
321,157483500,3071
322,157628488,2588
323,157983151,2470
324,158454394,2487
325,159706808,2826
326,160957729,2494
327,161940449,2498
328,161979472,2857
329,162294508,2779
330,162582265,3055
331,163064640,2873
332,163394056,2466
333,164485515,2883
334,165994250,2442
335,166162876,2422
336,166429970,3017
337,167452842,2435
338,167474983,2421
339,167477852,2446
340,167499209,2405
341,168694807,2474
342,168919562,2902
343,169141001,2417
344,169231075,2888
345,169973173,2454
346,171035750,2889
347,171141628,2484
348,171324865,2440
349,171847506,2797
350,172089673,2483
351,172277905,2034
352,172437189,2407
353,172958889,3061
354,173774106,2440
355,173788977,2518
356,173899690,2825
357,173931307,2426
358,174978293,2432
359,175360005,3030
360,176483483,2456
361,176539197,2861
362,176738055,2840
363,177182866,2873
364,177255359,2536
365,178014349,2481
366,179167872,2467
367,179448200,2455
368,179623682,2414
369,180227787,2844
370,181401995,2848
371,181586205,2460
372,182007805,3054
373,182187947,2530
374,182213369,2903
375,182693370,2806
376,183606675,2517
377,183694232,2845
378,183825216,2871
379,184158243,2466
380,184257242,2459
381,186809748,2479
382,186906900,2459
383,187021702,2352
384,187505769,2547
385,187850081,2446
386,188045579,2453
387,188104272,2863
388,188375263,2879
389,189922423,2741
390,190236213,2459
391,190665161,2481
392,191072528,2473
393,191140918,2433
394,191283596,2995
395,191848555,2707
396,192133992,2872
397,192163545,2444
398,192368509,2445
399,192403670,2489
400,193085850,2320
401,193199343,2874
402,193467944,2434
403,193481310,2431
404,194686621,2996
405,194789659,2848
406,195352237,2856
407,196618386,2833
408,197124335,2482
409,197632723,3015
410,198040579,2898
411,198602870,2466
412,198781943,2472
413,198795019,3031
414,199449632,3051
415,199745558,2461
416,200175558,2474
417,200310783,2840
418,201485154,2452
419,201635011,3011
420,201666358,3060
421,201751494,2884
422,202073114,2866
423,202177800,2510
424,202191260,2505
425,203032111,2492
426,203104898,2521
427,203592540,2543
428,204733360,2882
429,205049842,2458
430,205113153,2854
431,206300202,2485
432,206436620,2470
433,206442239,2441
434,207629338,2977
435,209144257,2814
436,209829702,2501
437,209995387,2447
438,210418303,2698
439,211940698,2864
440,212035024,2874
441,212477685,3040
442,212851632,2445
443,213098494,1892
444,213171410,2468
445,213946177,3043
446,215314112,2873
447,215935170,2760
448,216492380,2442
449,216741068,2395
450,217053092,2481
451,217835749,2892
452,218015328,2399
453,218175164,2435
454,218508751,2466
455,218680622,3063
456,218951881,2459
457,219492089,2840
458,219617521,2381
459,219995837,2824
460,220471657,2867
461,220870522,2324
462,220895974,2428
463,221298810,2850
464,222363688,2823
465,222498584,2462
466,224526168,2900
467,224848628,2845
468,225378560,2491
469,225410970,2948
470,225466575,2469
471,225563819,2469
472,225641353,2396
473,226237052,2458
474,226684168,2388
475,226760884,3023
476,227129737,2917
477,227956224,2349
478,229339526,2439
479,230363879,2376
480,230424100,2461
481,230936734,2792
482,231983858,3052
483,232259196,2981
484,232464153,2418
485,232643719,2788
486,233488873,2454
487,233879711,2735
488,234032313,2414
489,234942371,2487
490,235414043,2796
491,235764341,2456
492,235840231,2448
493,236189825,2848
494,236495171,2736
495,236502075,2434
496,236529219,2450
497,237491328,2807
498,237548285,2449
499,238080180,2484
500,239170171,2871
501,239260860,2454
502,239328086,3050
503,240624007,2508
504,240676306,2867
505,241457217,2466
506,243172937,2703
507,244021076,2539
508,244500215,2359
509,245533018,2519
510,246203568,2844
511,246414214,2256
512,246854166,2924
513,246887203,2927
514,246904374,2471
515,247523178,2366
516,247998855,2817
517,249433677,2301
518,250999851,3010
519,251071236,2431
520,251300036,2827
521,251448958,2859
522,253040440,2464
523,253141262,2461
524,254632335,2414
525,254946352,2828
526,255584925,2422
527,256276938,2878
528,256472023,2454
529,256996150,2834
530,257190418,2476
531,257202094,2429
532,257614326,2492
533,257696821,2335
534,259060358,2455
535,259227678,2872
536,259284455,2444
537,259520018,2448
538,259979870,2433
539,259989423,2431
540,260207973,2474
541,260626603,2858
542,261083728,2485
543,261114092,2467
544,261206651,2470
545,261801542,2508
546,261855036,2475
547,262496498,2485
548,262627056,2457
549,262829504,2886
550,264144459,2545
551,264161988,2407
552,264975874,2891
553,265674697,2470
554,268822675,2458
555,269452239,2428
556,269784279,2794
557,269889495,3010
558,271216051,2434
559,271781097,2891
560,272829162,2439
561,273014081,2463
562,273397359,2849
563,273721679,2850
564,274362225,2431
565,276107783,3047
566,276146244,2814
567,276300478,2281
568,276894446,2439
569,278323259,2500
570,278394782,2498
571,278514379,2526
572,278722349,2602
573,278781430,2573
574,279355904,2484
575,280349497,2484
576,280843847,2481
577,281872200,2433
578,282444780,2818
579,283919711,2396
580,284707308,2431
581,285379678,2386
582,285573382,2968
583,286536309,2510
584,287464594,2463
585,287826059,3017
586,287908702,3047
587,289075883,2457
588,289710341,2503
589,289870275,2505
590,289899819,2687
591,289975026,2452
592,290043142,2519
593,290737739,2882
594,291609626,2455
595,292560907,3084
596,292921848,1293
597,292996348,2442
598,293515360,2897
599,293952300,2455
600,294383349,2368
601,295351379,2903
602,296249296,2483
603,296338103,1914
604,296562785,2467
605,296979064,2876
606,297197364,2753
607,297259024,2967
608,297324288,2316
609,297896357,2821
610,298079184,2846
611,299528866,2979
612,299595425,2477
613,300132769,2525
614,300442953,2875
615,300474328,2465
616,300761326,3022
617,301438787,2443
618,302716469,2452
619,302895716,2499
620,303044350,2483
621,304703529,2421
622,304810792,2431
623,304912100,2851
624,305813223,2851
625,305888235,2454
626,306213542,2469
627,306650863,2417
628,306962178,2479
629,307047395,2343
630,307440921,2441
631,307765181,2792
632,308220236,2876
633,308798748,2431
634,309789908,2793
635,309805678,2473
636,310548160,2866
637,310931229,2824
638,311392361,2481
639,311469375,2894
640,311932140,2455
641,312375678,2679
642,312427538,2868
643,314376236,2526
644,314657942,2779
645,315025610,2904
646,315338762,2347
647,316987119,2883
648,317062219,2492
649,317177396,2813
650,317788602,2814
651,318015936,2865
652,318054903,2855
653,318256285,3035
654,318620285,2480
655,320299733,2843
656,320740133,2363
657,320767907,2868
658,320922894,2813
659,321337478,2460
660,321814817,2535
661,323046527,2515
662,323133982,2429
663,323724900,2392
664,323733814,2973
665,324285496,2430
666,324557755,2489
667,325423450,3025
668,325706265,2364
669,325724711,2518
670,326358049,2427
671,326898790,3054
672,327043773,2764
673,327132639,2485
674,328058296,2472
675,328487523,2843
676,328987743,2450
677,329100139,2882
678,329644060,2350
679,329701007,2532
680,329818038,2484
681,330703141,2943
682,331229371,2467
683,331339981,2610
684,331654460,731
685,332233444,2476
686,332743801,2881
687,333005794,2888
688,337984482,3029
689,337989994,2855
690,338919585,2687
691,339393298,2407
692,340100456,2845
693,340175603,2420
694,340730675,2423
695,340829458,2508
696,341117715,2851
697,341742038,3039
698,342755958,2447
699,342979162,2705
700,343204222,2854
701,343909239,2425
702,344036465,2468
703,344059163,2491
704,344131544,2859
705,344331637,2831
706,345244374,2451
707,345300218,2493
708,345510572,2478
709,346022226,3015
710,346044471,2772
711,346105346,2460
712,346445012,2536
713,347582621,2415
714,348297022,2860
715,348600721,2462
716,348739388,2846
717,349100365,2857
718,349571345,2818
719,350067413,2427
720,350702653,2846
721,351104132,2678
722,351194152,2861
723,351359628,2848
724,351619235,2471
725,351898895,2862
726,351934760,2825
727,352018946,2449
728,352224003,2503
729,352558498,2448
730,353568841,2903
731,355307813,2435
732,355549862,2861
733,357074054,2821
734,357888682,2825
735,358169146,2859
736,359288087,2478
737,359647132,2465
738,359751556,2867
739,360731290,2877
740,360906105,2458
741,360992877,2397
742,361701393,2874
743,361723617,2532
744,361934765,2483
745,362213620,2433
746,362458674,3063
747,363368615,2855
748,363822234,2416
749,364134956,2466
750,364204298,2462
751,364693244,2397
752,364741290,2423
753,365432171,2571
754,365443298,2434
755,365509968,2859
756,365756514,2860
757,366120346,2485
758,366973905,3031
759,366979253,2210
760,367253776,2540
761,367931482,2512
762,368230960,2873
763,368365819,2863
764,368742374,2396
765,369421182,2378
766,370253806,2153
767,370489601,2462
768,371007847,2476
769,372136062,2489
770,373088463,2437
771,373156148,2441
772,373648472,2422
773,374521210,2849
774,375547713,2458
775,375675846,2855
776,375995785,2427
777,376076914,2300
778,376136593,2791
779,376714849,2881
780,376722552,2489
781,377136783,2449
782,377483785,3010
783,377535632,2437
784,378517103,2833
785,379928963,3034
786,380035466,2899
787,380212799,2465
788,380374686,2493
789,380390715,2193
790,380557865,3030
791,380886761,2874
792,381101877,2999
793,382008522,2489
794,383702046,2304
795,385447825,2509
796,385960248,2453
797,385973860,2409
798,386228377,2583
799,388030013,2819
800,388049611,2448
801,388295430,2859
802,389437719,2474
803,390040513,2423
804,390328481,2345
805,390532312,2385
806,390540734,2969
807,391137624,2418
808,391688021,2473
809,391991359,2876
810,392289366,2443
811,392502263,2482
812,392662732,2842
813,393078838,2873
814,393086859,2441
815,393421585,2405
816,394084072,2710
817,394898690,2898
818,395394921,2826
819,395407938,2829
820,395767135,2540
821,396525803,2872
822,396909384,2950
823,397025961,2837
824,397517166,2464
825,397826690,2817
826,398172069,2440
827,398195699,2958
828,398833657,2416
829,399070316,2861
830,399475754,2173
831,400085155,2471
832,400272547,2916
833,401745043,2497
834,403227791,2718
835,403692877,2774
836,403725554,2874
837,405090122,2904
838,405624172,3005
839,405786534,2824
840,407188594,2381
841,409373431,2840
842,409456771,3002
843,409505138,2821
844,409579377,2866
845,409720590,2439
846,411607397,2502
847,411616937,2810
848,412449056,2519
849,412695408,2838
850,413035183,2495
851,413970488,2480
852,414571543,2480
853,415303011,2483
854,417072882,1325
855,417084824,2421
856,417181553,774
857,417742572,2446
858,418618716,2454
859,418872256,2478
860,418882007,2890
861,418966501,2426
862,419546064,2872
863,419721955,3066
864,420781666,2470
865,420854663,2841
866,421060205,2511
867,422127986,2440
868,422403865,2999
869,422450635,2980
870,422483608,2413
871,422883181,2640
872,423018325,2790
873,424071375,2437
874,424556018,3024
875,425052455,1361
876,425076630,2454
877,426557133,2439
878,427232056,2484
879,427309194,2877
880,428965099,2445
881,429253762,2456
882,429427469,2462
883,429610967,2888
884,431362597,2447
885,431609860,2377
886,431667997,2500
887,433238598,2462
888,433439370,2450
889,433609232,2443
890,433813857,2574
891,433932524,3005
892,434768819,2799
893,434799672,2910
894,434935819,2539
895,435615928,2518
896,436232074,2867
897,436643038,2462
898,436769883,2853
899,437177836,2855
900,437478392,2897
901,438011196,3040
902,438401702,2420
903,439136966,2466
904,440803921,2493
905,441177838,2412
906,441197549,2846
907,441945169,3014
908,442193732,2474
909,442296367,2529
910,443531407,2445
911,443734774,2431
912,444449662,2559
913,445144764,2440
914,445662669,2410
915,446283227,2489
916,446322321,2843
917,446677047,2354
918,446705841,3035
919,447949611,2864
920,448999079,2382
921,449465529,2846
922,450569833,2461
923,451673125,2473
924,452253829,2852
925,453294528,2410
926,453547122,2408
927,454312918,2929
928,457005611,2831
929,457173534,2876
930,457501573,2854
931,458076188,2791
932,458573379,2419
933,458890332,2456
934,459460991,2534
935,459699249,2352
936,459933135,2615
937,460083296,2517
938,463108056,2512
939,463481910,2519
940,463505806,2535
941,463557924,2463
942,464527029,2446
943,466290013,2472
944,466323570,2722
945,466492749,2435
946,467242825,2387
947,468396414,2378
948,470427648,2951
949,470833235,2864
950,470901431,2396
951,471248901,2389
952,472612371,2810
953,472755345,2490
954,474191855,2438
955,475153901,2851
956,475481966,2368
957,476747107,2834
958,478574054,2472
959,478779845,2462
960,478801012,2847
961,479530065,2443
962,479588478,2953
963,480989219,2413
964,481381658,3002
965,481810919,2459
966,482835858,2427
967,483120329,2533
968,483121677,2470
969,483173564,3078
970,483187991,2824
971,483337740,2549
972,483678072,2847
973,483762699,2793
974,483877580,2894
975,484291151,2877
976,484619014,2771
977,484932102,2894
978,485048602,2791
979,485517099,3029
980,486542657,2854
981,486753016,2830
982,486757136,2862
983,487211972,2803
984,487451354,2471
985,487803894,2471
986,488435310,2447
987,489365128,2835
988,489620279,2505
989,490190498,2509
990,490205099,2845
991,490449538,2914
992,490715262,2452
993,491243435,2986
994,491381259,2453
995,491865914,2965
996,492080345,2874
997,492404452,2562
998,492997327,2355
999,493392525,2596
1000,494174710,2859
1001,494626821,2527
1002,495495859,2805
1003,495703626,2900
1004,495743136,2516
1005,495864427,2872
1006,496128916,2476
1007,496199286,2484
1008,496598007,2470
1009,497237747,2526
1010,497779234,2876
1011,497872489,2876
1012,498589530,2476
1013,499041366,2459
1014,499193156,2456
1015,499351356,2387
1016,499619249,2503
1017,500147607,3046
1018,500484271,2857
1019,500555365,2824
1020,501304758,2386
1021,501325151,2796
1022,502327236,3029
1023,502400905,3009
1024,502699857,2557
1025,502781921,2470
1026,503290413,3093
1027,503960859,2397
1028,504124150,2458
1029,504124905,2433
1030,504909002,2402
1031,504927211,2464
1032,506722950,2431
1033,507716514,2874
1034,508076176,2452
1035,508477894,2798
1036,508961162,2471
1037,508966023,2446
1038,509422305,2426
1039,509896081,2798
1040,510216081,2430
1041,510937382,2445
1042,512229889,2460
1043,512842415,2893
1044,513040224,3025
1045,513697720,2450
1046,514079512,2872
1047,515496512,2514
1048,516561056,2469
1049,517066837,2494
1050,517228203,2476
1051,517378554,2824
1052,517480602,2529
1053,517834531,2396
1054,518402173,2853
1055,518495836,2391
1056,518737316,2468
1057,518854630,2881
1058,519044801,2506
1059,519619748,2509
1060,521557636,2717
1061,521886801,3036
1062,522362015,2462
1063,523706668,2539
1064,524157928,2453
1065,524843458,2892
1066,525162168,2856
1067,525479068,2458
1068,525691567,2452
1069,527018463,1194
1070,527524256,2366
1071,529206624,2721
1072,531742239,2396
1073,532505302,2479
1074,532642111,2793
1075,532739787,2899
1076,532947684,2859
1077,534597284,2486
1078,535869882,2712
1079,536355520,2477
1080,536706394,2523
1081,536715834,2445
1082,536919111,2974
1083,537151320,2416
1084,537228953,2894
1085,537668633,973
1086,537757070,2485
1087,538812180,2484
1088,539693491,2497
1089,539853914,2485
1090,541385305,2903
1091,541397767,2399
1092,541423423,2412
1093,541629363,2460
1094,542234134,2845
1095,542837446,2475
1096,543535879,2766
1097,543880971,2410
1098,544278038,2368
1099,544648850,2507
1100,544709072,2786
1101,545654638,2809
1102,546010063,2746
1103,547742721,2474
1104,548654294,2830
1105,548681804,2480
1106,549081054,3043
1107,549407375,2897
1108,551931020,2936
1109,552089252,2987
1110,552430127,2407
1111,552502193,2874
1112,552609112,2437
1113,552619665,1655
1114,552949650,2887
1115,553932919,2481
1116,554418575,2866
1117,554931276,2374
1118,555158093,2837
1119,555375089,2478
1120,555938603,2451
1121,556922827,2831
1122,558561151,2327
1123,559135680,2409
1124,559388492,3055
1125,559821650,2434
1126,560129898,2532
1127,560854573,2386
1128,560966390,2402
1129,561361899,2550
1130,562547632,3088
1131,563584093,2366
1132,564464605,3075
1133,564469244,2486
1134,564490274,559
1135,564524943,2507
1136,565750539,2867
1137,566385199,2489
1138,566681217,3070
1139,567256059,2833
1140,571414473,2859
1141,571470788,2855
1142,571813184,2458
1143,572283879,2454
1144,573293748,2482
1145,574853346,2448
1146,575242542,2934
1147,575542624,2640
1148,576027132,2453
1149,577766541,2503
1150,582746287,2501
1151,582984075,2408
1152,583399476,2432
1153,583472920,2888
1154,583874912,2875
1155,584408951,2868
1156,584477775,2496
1157,584605782,2795
1158,586671246,2362
1159,586779774,2497
1160,586897062,2477
1161,587294615,3049
1162,588158416,2469
1163,588422235,2399
1164,589582242,2546
1165,589619333,2403
1166,591772362,2398
1167,591919597,1487
1168,592098750,2425
1169,592151729,2516
1170,592156258,2843
1171,592905254,2742
1172,593019771,2679
1173,595192818,2474
1174,595445842,2489
1175,595755696,2980
1176,597030290,2477
1177,598290388,2799
1178,598557995,2797
1179,598794174,2343
1180,599265320,2791
1181,599431312,2481
1182,599713217,2426
1183,600552551,2554
1184,600832265,2426
1185,601071103,2546
1186,601200622,2396
1187,602251979,2428
1188,602318220,2898
1189,602980666,2757
1190,603080652,2972
1191,603145387,2919
1192,603335082,2858
1193,603705645,2438
1194,604190360,2473
1195,604294655,2483
1196,605024636,2920
1197,605057243,2830
1198,605058938,3016
1199,605173121,2380
1200,606227052,2417
1201,606674274,2424
1202,607292480,2441
1203,607377823,2488
1204,608034493,2888
1205,608089968,2398
1206,608445285,2879
1207,608996046,2996
1208,609448606,3048
1209,609602092,2479
1210,610012285,2940
1211,610089855,2520
1212,610701747,2812
1213,611488153,2450
1214,611879680,2847
1215,612212527,2873
1216,613228944,2978
1217,613579905,2489
1218,614200930,2822
1219,614539130,2891
1220,615728831,2314
1221,616167940,2866
1222,616402371,2504
1223,616522168,3047
1224,617076580,2475
1225,620878889,2468
1226,621390276,2870
1227,622193192,2370
1228,622480769,2305
1229,622592562,2343
1230,623114931,2849
1231,623508644,2478
1232,623609914,2873
1233,623783675,2430
1234,623859906,2472
1235,624226552,2470
1236,624585476,2481
1237,624935490,2868
1238,625076280,2441
1239,625113958,2869
1240,625151278,2846
1241,625162292,2493
1242,625212980,2772
1243,625587682,3070
1244,625784339,2880
1245,625880398,2517
1246,626078635,2841
1247,626316718,2386
1248,626491618,2502
1249,626963279,3017
1250,627865414,2510
1251,627936960,2858
1252,628185570,2536
1253,629726704,2835
1254,629740468,3039
1255,631121532,2424
1256,632102388,2857
1257,632222201,2418
1258,632490816,3072
1259,633711664,2487
1260,634611080,2474
1261,635207622,2750
1262,635876527,2454
1263,636262058,3022
1264,636388596,2818
1265,636528637,3047
1266,636735743,2458
1267,637182316,2482
1268,637416129,2539
1269,638346595,2525
1270,638939455,2447
1271,639643520,2998
1272,639682473,2450
1273,639951717,2885
1274,640125439,2478
1275,640283078,2483
1276,640301276,2794
1277,640911102,2442
1278,641200485,2394
1279,641229943,2463
1280,641395239,2826
1281,642167702,2464
1282,642938978,2482
1283,643254909,3036
1284,643420012,2902
1285,643483029,3044
1286,643605379,2417
1287,643660755,3012
1288,644403304,2995
1289,644576868,2848
1290,645818911,2359
1291,647627824,2441
1292,647889644,2967
1293,648026420,2450
1294,648261616,2370
1295,648333656,829
1296,649432003,2838
1297,649526312,2468
1298,649577661,2780
1299,651282168,2469
1300,653330413,2460
1301,653422556,2476
1302,653808157,2420
1303,653864902,3002
1304,654548611,2431
1305,654987856,2411
1306,655535902,2891
1307,655596138,2356
1308,655968016,2967
1309,656004501,2860
1310,656881842,2474
1311,657820557,2858
1312,657974772,2478
1313,658059387,2474
1314,658413888,3055
1315,658421400,2914
1316,658536677,2932
1317,659370410,2433
1318,659592897,2859
1319,660040397,2503
1320,660077616,2380
1321,660660638,2455
1322,661043988,2238
1323,661050083,2459
1324,661092035,2445
1325,661688431,2810
1326,662027052,2526
1327,662991758,2874
1328,663080781,2434
1329,663735438,2468
1330,663745137,2860
1331,665252521,2878
1332,665623031,2401
1333,666081501,2871
1334,666909563,2856
1335,667000834,2654
1336,667896690,2895
1337,667903333,2857
1338,668232279,2878
1339,668679843,2565
1340,668866438,2823
1341,668868963,2400
1342,669148848,2453
1343,669299274,2751
1344,670144794,2798
1345,671586623,2433
1346,671673669,2469
1347,671798010,2475
1348,671978248,2501
1349,672243950,3042
1350,672563800,2470
1351,673335075,2483
1352,674032040,2817
1353,674096998,2454
1354,674103448,3044
1355,674754687,2513
1356,676115916,2493
1357,676569501,2488
1358,676969653,2851
1359,677615293,2860
1360,677804637,2865
1361,679560885,2327
1362,679806331,2429
1363,679883428,3060
1364,680566035,2874
1365,680604144,2489
1366,680783971,2926
1367,681059639,2912
1368,681408171,2741
1369,681437021,2437
1370,681491424,2876
1371,682112955,3028
1372,682520518,2557
1373,682716687,2889
1374,684268882,2509
1375,684379901,2433
1376,684490958,2399
1377,685873466,2437
1378,685886358,3032
1379,686377899,2831
1380,687011173,2454
1381,687280509,2466
1382,688013596,2806
1383,688419137,2484
1384,688468634,2840
1385,689177333,2751
1386,689550412,2456
1387,690703155,2403
1388,691324868,2880
1389,691453371,2508
1390,691795355,2413
1391,692000078,2838
1392,692142329,2856
1393,693492784,2893
1394,693672777,2445
1395,695154062,2954
1396,695219738,2397
1397,695532709,2460
1398,695890407,2816
1399,696038447,2470
1400,696374451,2831
1401,696462476,2447
1402,696473828,2421
1403,696640092,2473
1404,696944323,2395
1405,697713042,2472
1406,698163967,2772
1407,698528446,2973
1408,699148730,2476
1409,699193865,2796
1410,699349049,2508
1411,699979805,2801
1412,700308659,3011
1413,700700437,2392
1414,701343581,2420
1415,702061919,2404
1416,702360214,2828
1417,702597469,2857
1418,702822630,2490
1419,703350572,2825
1420,703646846,2412
1421,704199756,2443
1422,704315759,2436
1423,704835267,3029
1424,705507869,2830
1425,705858200,2486
1426,706721233,2863
1427,706881343,2795
1428,707229836,2493
1429,707714983,2473
1430,708360973,2860
1431,708864006,2863
1432,709755423,2448
1433,710095785,2899
1434,710173288,2440
1435,710244688,2820
1436,710612742,2412
1437,710781835,3047
1438,711284070,2448
1439,712122691,2410
1440,713012279,2465
1441,714856633,2434
1442,715250521,2548
1443,715513638,2490
1444,715628991,2767
1445,716163905,3046
1446,717923445,2577
1447,717964256,2805
1448,718505320,2444
1449,719860948,2438
1450,719922440,2406
1451,720204073,2834
1452,720680765,2446
1453,721732074,2809
1454,721790600,2430
